year,km_driven,mileage,engine,max_power,seats
2014,145500,23.4,1248,74.0,5
2014,120000,21.14,1498,103.52,5
2010,127000,23.0,1396,90.0,5
2007,120000,16.1,1298,88.2,5
2017,45000,20.14,1197,81.86,5
2007,175000,17.3,1061,57.5,5
2001,5000,16.1,796,37.0,4
2011,90000,23.59,1364,67.1,5
2013,169000,20.0,1399,68.1,5
2014,68000,19.01,1461,108.45,5
2005,100000,17.3,993,60.0,5
2009,140000,19.3,1248,73.9,5
2007,80000,19.369999999999997,1248,81.86,5
2009,90000,18.9,1061,67.0,5
2016,40000,18.15,1198,82.0,5
2012,53000,23.0,1396,90.0,5
2002,80000,19.7,796,46.3,5
2016,100000,22.54,1396,88.73,5
2011,100000,21.0,1461,64.1,5
2017,50000,25.5,1498,98.6,5
2015,40000,26.59,1248,74.0,5
2012,72000,21.5,1248,88.8,5
2016,45000,21.4,1197,83.1,5
2017,28000,24.7,796,47.3,5
2013,70000,18.2,1248,73.8,7
2009,120000,18.9,1061,67.0,5
2018,25000,16.8,796,34.2,8
2017,70000,24.3,1248,88.5,5
2003,50000,19.369999999999997,1248,81.86,5
2012,35000,14.0,796,35.0,5
2017,16200,24.3,1248,88.5,5
2019,10000,33.44,796,40.3,4
2019,15000,23.95,998,67.1,5
2019,5000,17.0,1591,121.3,5
2016,42000,20.63,1198,67.0,5
2011,60000,13.93,2179,138.03,7
2012,76000,16.1,796,37.0,4
2019,5000,16.0,1368,160.77,5
2018,28900,17.8,1497,117.3,5
2013,86300,16.8,1497,116.3,5
2018,32600,24.3,1248,88.5,5
2018,10300,23.95,998,67.05,5
2014,77000,12.55,2982,168.5,7
2013,99000,12.99,2494,100.0,7
2014,27800,14.8,2143,120.7,5
2015,49800,24.7,1498,98.63,5
2013,151000,13.5,2477,175.56,7
2015,54700,26.0,1498,98.6,5
2015,63000,27.3,1498,98.6,5
2016,127700,11.36,2755,171.5,7
2016,99000,12.99,2494,100.6,7
2013,33900,17.68,1968,174.33,5
2013,50000,18.53,1968,187.74,5
2013,59000,14.84,2143,170.0,5
2011,120000,21.12,1248,88.8,5
2011,110000,20.36,1197,78.9,5
2013,60000,21.27,1396,88.76,5
2015,147000,26.59,1248,74.0,5
2017,25000,18.16,1196,86.8,5
2019,30000,21.4,1197,83.1,5
2016,40000,22.0,1498,108.495,5
2015,135000,25.1,1498,98.6,5
2018,30000,20.51,998,67.0,5
2017,80000,21.66,1498,108.62,5
2019,9850,24.3,1248,88.5,5
2016,70000,25.2,1248,74.0,5
2015,78000,12.55,2982,168.5,7
2013,120000,22.9,1248,74.0,5
2012,120000,16.02,1373,93.7,7
2003,70000,19.369999999999997,1248,81.86,5
2013,170000,20.54,1598,103.6,5
2016,140000,12.99,2494,100.6,8
2015,90000,22.77,1498,98.59,5
2016,30000,15.71,1998,189.0,5
2017,10000,23.1,998,67.04,5
2016,49000,19.02,1198,67.05,5
2016,32000,24.7,796,47.3,5
2016,38000,24.7,796,47.3,5
2015,78000,19.369999999999997,1248,81.86,5
2012,28000,19.81,1086,68.05,5
2017,32000,14.0,796,35.0,5
2010,44000,26.2,998,58.2,5
2015,42000,16.47,1198,74.0,5
2015,45000,19.81,1086,68.05,5
2012,12000,15.04,1598,103.6,5
2009,55500,18.2,998,67.1,5
2013,61500,18.5,1197,82.85,5
2016,150000,26.59,1248,74.0,5
2016,72000,19.1,1197,82.0,5
2008,68000,19.7,796,46.3,5
2017,110000,22.54,1396,88.73,5
2009,77000,21.79,998,67.05,5
2010,100000,18.8,1248,90.0,5
2019,10000,21.21,1197,81.8,5
2018,35000,21.4,1197,83.1,5
2014,70000,11.79,2179,120.0,8
2020,5000,19.0,1194,94.68,5
2017,37800,17.0,1591,121.3,5
2010,114000,14.3,1798,160.0,5
2019,32000,15.1,2179,155.0,7
2016,100000,19.09,1405,69.01,5
2013,150000,22.32,1582,126.32,5
2013,69000,21.9,1396,88.76,5
2009,100000,14.53,1798,138.1,5
2020,13000,21.63,998,67.04,5
2016,60000,24.3,1248,88.5,5
2017,40000,20.85,1197,83.14,5
2010,120000,19.369999999999997,1248,81.86,5
2014,70000,20.45,1461,83.8,5
2016,50000,19.67,1582,126.2,5
2012,175000,19.3,1248,73.9,5
2018,25000,23.01,999,67.0,5
2015,40000,23.1,998,67.04,5
2008,65000,19.7,796,46.3,5
2009,80000,17.92,1086,62.1,5
2015,110000,20.77,1248,88.76,7
2019,1303,17.8,1198,86.7,5
2018,31800,17.01,1968,188.0,5
2019,20000,22.37,2487,214.56,5
2017,45000,19.33,1999,177.0,5
2019,21000,12.83,1999,148.31,7
2017,37000,13.5,2987,254.79,5
2018,29500,22.48,1995,187.74,5
2017,27000,19.369999999999997,1248,81.86,5
2019,7500,16.78,1995,190.0,5
2018,50000,14.67,1798,177.46,5
2016,35000,15.0,2143,204.0,5
2019,19000,13.96,1451,141.0,5
2013,39000,14.28,1798,138.03,5
2018,22000,18.0,1969,190.0,5
2015,53000,12.07,2967,241.4,7
2015,40000,26.21,1248,88.5,5
2017,47000,13.5,2987,282.0,5
2010,72200,10.8,2497,150.0,5
2017,9000,13.6,1999,177.0,5
2018,11000,17.0,1198,108.5,5
2011,49000,15.04,1598,103.6,5
2012,95000,16.3,1797,147.5,5
2016,11000,14.3,1598,103.5,5
2018,18000,15.04,1991,183.0,5
2017,16000,14.74,1991,181.04,5
2017,18000,15.6,1497,116.3,5
2019,9654,19.56,1197,81.8,5
2011,11000,23.95,998,67.05,5
2012,24300,21.21,1197,81.8,5
2018,8000,21.5,1497,108.5,5
2016,30000,22.69,1995,190.0,5
2016,41000,19.16,2494,157.7,5
2016,12000,18.12,1995,190.0,5
2009,71000,12.1,2362,164.7,5
2016,20000,17.5,1373,91.1,7
2017,30000,42.0,1969,400.0,4
2018,9500,18.16,1196,86.8,5
2011,120000,20.0,1399,68.0,5
2015,36600,20.4,1197,81.8,5
2015,50000,20.51,998,67.0,5
2016,14000,18.6,1197,81.83,5
1999,40000,16.1,796,37.0,4
2010,120000,21.1,1248,73.9,5
2015,70000,18.9,1197,82.0,5
2019,13000,19.44,999,75.0,5
2014,35000,19.1,1197,85.8,5
2016,44000,19.1,1197,82.0,5
2005,120000,13.0,1493,100.0,5
2010,60000,21.43,1364,87.2,5
2000,60000,18.5,796,53.0,5
2014,30000,13.0,2982,168.5,7
2016,15000,18.15,1198,82.0,6
2017,90000,22.95,1248,74.0,5
2009,47000,17.0,1497,118.0,5
2005,90000,17.3,993,60.0,5
2005,86000,15.3,1341,83.0,5
2017,37000,28.09,1248,88.5,5
2019,14000,20.3,1199,84.0,5
2015,70000,20.77,1248,88.76,7
2012,120000,19.369999999999997,1248,81.86,5
2015,50000,17.4,1497,117.3,5
2016,50000,26.6,998,58.16,5
2017,50000,20.85,1197,83.14,5
2003,90000,19.369999999999997,1248,81.86,5
2018,35000,20.51,998,67.0,5
2017,20000,21.21,1197,81.8,5
2018,7800,22.0,1197,81.8,5
2017,20000,20.4,1197,81.8,5
2019,15000,17.6,2179,147.94,7
2013,31377,18.5,1197,82.85,5
2018,50000,28.4,1248,74.02,5
2015,60000,20.51,998,67.04,5
2012,100000,14.53,1794,138.1,5
2018,5000,21.4,1197,83.1,5
2017,60000,14.1,2179,147.94,7
2017,80000,20.63,1198,67.0,5
2017,75000,24.3,1248,88.5,5
2020,32000,20.14,1197,81.86,5
2015,40000,22.74,796,47.3,5
2012,93000,17.0,1197,80.0,5
2018,60000,17.57,1193,88.7,5
2008,120000,19.369999999999997,1248,81.86,5
2014,37000,16.95,1498,97.7,5
2018,15000,17.0,1497,121.36,5
